Date: 2018-09-02 | Player: Paul Pogba | Foot: right | Team: Manchester United | GameID: 513805             | Outcome: 0 | Direction:  bottom left corner
Date: 2018-01-31 | Player: Jamie Vardy | Foot: right | Team: Leicester City | GameID: 480662             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-01-31 | Player: Glenn Murray | Foot: right | Team: Brighton and Hove Albion | GameID: 480660             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-01-31 | Player: Joselu | Foot: right | Team: Newcastle United | GameID: 480661             | Outcome: 0 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Luka Milivojevic | Foot: right | Team: Crystal Palace | GameID: 513662             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Troy Deeney | Foot: right | Team: Watford | GameID: 513669             | Outcome: 1 | Direction:  top right corner
Date: 2018-12-22 | Player: Jesse Lingard | Foot: right | Team: Manchester United | GameID: 513666             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Víctor Camarasa | Foot: right | Team: Cardiff City | GameID: 513666             | Outcome: 1 | Direction:  top left corner
Date: 2018-12-22 | Player: Jesse Lingard | Foot: right | Team: Manchester United | GameID: 513666             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Víctor Camarasa | Foot: right | Team: Cardiff City | GameID: 513666             | Outcome: 1 | Direction:  top left corner
Date: 2018-12-22 | Player: Danny Ings | Foot: right | Team: Southampton | GameID: 513667             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-08-18 | Player: Kenedy | Foot: left | Team: Newcastle United | GameID: 513826             | Outcome: 0 | Direction:  centre of the goal
Date: 2018-08-18 | Player: Marko Arnautovic | Foot: right | Team: West Ham United | GameID: 513821             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-11-24 | Player: Jamie Vardy | Foot: right | Team: Leicester City | GameID: 513715             | Outcome: 1 | Direction:  top right corner
Date: 2018-11-04 | Player: Danny Ings | Foot: right | Team: Southampton | GameID: 513737             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-10-06 | Player: Joshua King | Foot: right | Team: Bournemouth | GameID: 513761             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Luka Milivojevic | Foot: right | Team: Crystal Palace | GameID: 513662             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Troy Deeney | Foot: right | Team: Watford | GameID: 513669             | Outcome: 1 | Direction:  top right corner
Date: 2018-12-22 | Player: Jesse Lingard | Foot: right | Team: Manchester United | GameID: 513666             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Víctor Camarasa | Foot: right | Team: Cardiff City | GameID: 513666             | Outcome: 1 | Direction:  top left corner
Date: 2018-12-22 | Player: Jesse Lingard | Foot: right | Team: Manchester United | GameID: 513666             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Víctor Camarasa | Foot: right | Team: Cardiff City | GameID: 513666             | Outcome: 1 | Direction:  top left corner
Date: 2018-12-22 | Player: Danny Ings | Foot: right | Team: Southampton | GameID: 513667             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-12-22 | Player: Luka Milivojevic | Foot: right | Team: Crystal Palace | GameID: 513662             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Troy Deeney | Foot: right | Team: Watford | GameID: 513669             | Outcome: 1 | Direction:  top right corner
Date: 2018-12-22 | Player: Jesse Lingard | Foot: right | Team: Manchester United | GameID: 513666             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Víctor Camarasa | Foot: right | Team: Cardiff City | GameID: 513666             | Outcome: 1 | Direction:  top left corner
Date: 2018-12-22 | Player: Jesse Lingard | Foot: right | Team: Manchester United | GameID: 513666             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Víctor Camarasa | Foot: right | Team: Cardiff City | GameID: 513666             | Outcome: 1 | Direction:  top left corner
Date: 2018-12-22 | Player: Danny Ings | Foot: right | Team: Southampton | GameID: 513667             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-03-31 | Player: Glenn Murray | Foot: right | Team: Brighton and Hove Albion | GameID: 480589             | Outcome: 0 | Direction:  bottom right corner
Date: 2018-03-31 | Player: Joshua King | Foot: right | Team: Bournemouth | GameID: 480586             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-03-31 | Player: Luka Milivojevic | Foot: right | Team: Crystal Palace | GameID: 480590             | Outcome: 1 | Direction:  bottom left corner
Date: 2018-12-22 | Player: Luka Milivojevic | Foot: right | Team: Crystal Palace | GameID: 513662             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Troy Deeney | Foot: right | Team: Watford | GameID: 513669             | Outcome: 1 | Direction:  top right corner
Date: 2018-12-22 | Player: Jesse Lingard | Foot: right | Team: Manchester United | GameID: 513666             | Outcome: 1 | Direction:  bottom right corner
Date: 2018-12-22 | Player: Víctor Camarasa | Foot: right | Team: Cardiff City | GameID: 513666             | Outcome: 1 | Direction:  top left corner
