Date: 2020-01-22 | Player: Mark Noble | Foot: right | Team: West Ham United | GameID: 541614             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-01-22 | Player: Ayoze Pérez | Foot: right | Team: Leicester City | GameID: 541614             | Outcome: 1 | Direction:  top left corner
Date: 2020-01-22 | Player: Mark Noble | Foot: right | Team: West Ham United | GameID: 541614             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-01-12 | Player: Anwar El Ghazi | Foot: right | Team: Aston Villa | GameID: 541629             | Outcome: 1 | Direction:  top left corner
Date: 2020-01-21 | Player: Gabriel Jesus | Foot: right | Team: Manchester City | GameID: 541611             | Outcome: 0 | Direction:  bottom left corner
Date: 2020-01-21 | Player: Jorginho | Foot: right | Team: Chelsea | GameID: 541606             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-01-01 | Player: Mark Noble | Foot: right | Team: West Ham United | GameID: 541636             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-01-18 | Player: Troy Deeney | Foot: right | Team: Watford | GameID: 541623             | Outcome: 0 | Direction:  bottom left corner
Date: 2020-01-18 | Player: Teemu Pukki | Foot: right | Team: Norwich City | GameID: 541616             | Outcome: 1 | Direction:  high centre of the goal
Date: 2020-01-18 | Player: Raúl Jiménez | Foot: right | Team: Wolverhampton Wanderers | GameID: 541624             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-01-29 | Player: Mohamed Salah | Foot: left | Team: Liverpool | GameID: 541670             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-01-11 | Player: Jorginho | Foot: right | Team: Chelsea | GameID: 541627             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-01-11 | Player: Marcus Rashford | Foot: right | Team: Manchester United | GameID: 541631             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-03-09 | Player: Jamie Vardy | Foot: right | Team: Leicester City | GameID: 541555             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-10-24 | Player: Sander Berge | Foot: right | Team: Sheffield United | GameID: 578608             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-10-17 | Player: Bruno Fernandes | Foot: right | Team: Manchester United | GameID: 578617             | Outcome: 0 | Direction:  bottom left corner
Date: 2020-10-04 | Player: Harry Kane | Foot: right | Team: Tottenham Hotspur | GameID: 578628             | Outcome: 1 | Direction:  top left corner
Date: 2020-10-04 | Player: Bruno Fernandes | Foot: right | Team: Manchester United | GameID: 578628             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-10-04 | Player: Harry Kane | Foot: right | Team: Tottenham Hotspur | GameID: 578628             | Outcome: 1 | Direction:  top left corner
Date: 2020-10-04 | Player: Bruno Fernandes | Foot: right | Team: Manchester United | GameID: 578628             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-10-03 | Player: Jorginho | Foot: right | Team: Chelsea | GameID: 578623             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-10-03 | Player: Jorginho | Foot: right | Team: Chelsea | GameID: 578623             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-10-03 | Player: Jorginho | Foot: right | Team: Chelsea | GameID: 578623             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-10-03 | Player: Jorginho | Foot: right | Team: Chelsea | GameID: 578623             | Outcome: 1 | Direction:  bottom right corner
Date: 2020-10-03 | Player: Callum Wilson | Foot: right | Team: Newcastle United | GameID: 578622             | Outcome: 1 | Direction:  high centre of the goal
Date: 2020-10-31 | Player: Mohamed Salah | Foot: left | Team: Liverpool | GameID: 578600             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-11-08 | Player: Kevin De Bruyne | Foot: right | Team: Manchester City | GameID: 578585             | Outcome: 0 | Direction:  left
Date: 2020-11-08 | Player: Mohamed Salah | Foot: left | Team: Liverpool | GameID: 578585             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-11-08 | Player: Kevin De Bruyne | Foot: right | Team: Manchester City | GameID: 578585             | Outcome: 0 | Direction:  left
Date: 2020-11-08 | Player: Mohamed Salah | Foot: left | Team: Liverpool | GameID: 578585             | Outcome: 1 | Direction:  bottom left corner
Date: 2020-11-08 | Player: Jamie Vardy | Foot: right | Team: Leicester City | GameID: 578590             | Outcome: 0 | Direction:  centre of the goal
Date: 2020-11-08 | Player: Jamie Vardy | Foot: right | Team: Leicester City | GameID: 578590             | Outcome: 1 | Direction:  top right corner
Date: 2020-11-08 | Player: Jamie Vardy | Foot: right | Team: Leicester City | GameID: 578590             | Outcome: 0 | Direction:  centre of the goal
Date: 2020-11-08 | Player: Jamie Vardy | Foot: right | Team: Leicester City | GameID: 578590             | Outcome: 1 | Direction:  top right corner
Date: 2020-11-07 | Player: Ademola Lookman | Foot: right | Team: Fulham | GameID: 578583             | Outcome: 0 | Direction:  bottom left corner
Date: 2020-11-22 | Player: Ivan Cavaleiro | Foot: right | Team: Fulham | GameID: 578575             | Outcome: 0 | Direction:  left
Date: 2020-11-30 | Player: Ollie Watkins | Foot: right | Team: Aston Villa | GameID: 578561             | Outcome: 0 | Direction: the bar
Date: 2020-11-30 | Player: Ivan Cavaleiro | Foot: right | Team: Fulham | GameID: 578563             | Outcome: 1 | Direction:  top right corner
Date: 2020-11-21 | Player: Bruno Fernandes | Foot: right | Team: Manchester United | GameID: 578579             | Outcome: 1 | Direction:  top left corner
Date: 2020-11-02 | Player: Youri Tielemans | Foot: right | Team: Leicester City | GameID: 578596             | Outcome: 1 | Direction:  top left corner
Date: 2020-11-28 | Player: Pascal Groß | Foot: right | Team: Brighton and Hove Albion | GameID: 578565             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-11-28 | Player: Neal Maupay | Foot: right | Team: Brighton and Hove Albion | GameID: 578565             | Outcome: 0 | Direction:  right
Date: 2020-11-28 | Player: Pascal Groß | Foot: right | Team: Brighton and Hove Albion | GameID: 578565             | Outcome: 1 | Direction:  centre of the goal
Date: 2020-11-28 | Player: Neal Maupay | Foot: right | Team: Brighton and Hove Albion | GameID: 578565             | Outcome: 0 | Direction:  right
