,player_name,shot_outcome_name,gk_name,player_team,gk_team,season,date,,,
93,Willian Borges da Silva,Goal,Jack Butland,Chelsea,Stoke,17/18,30-12-2017,,,
94,Jamie Vardy,Saved,Hugo Lloris,Leicester,Tottenham,18/19,10-02-2019,,,
95,Anthony Martial,Goal,Jordan Pickford,Man Utd,Everton,17/18,17-09-2017,,,
96,Aboubakar Kamara,Goal,David de Gea Quintana,Fulham,Man Utd,18/19,08-12-2018,,,
97,Matt Ritchie,Saved,Jordan Pickford,Newcastle,Everton,18/19,09-03-2019,,,
98,Jamie Vardy,Goal,Martin Dúbravka,Leicester,Newcastle,18/19,29-09-2018,,,
99,Pierre-Emerick Aubameyang,Goal,Jack Butland,Arsenal,Stoke,17/18,01-04-2018,,,
100,Alexandre Lacazette,Goal,Jack Butland,Arsenal,Stoke,17/18,01-04-2018,,,
101,Gabriel Fernando de Jesus,Saved,Łukasz Fabiański,Man City,Swansea,17/18,22-04-2018,,,
102,Joe Ralls,Saved,Łukasz Fabiański,Cardiff,West Ham,18/19,04-12-2018,,,
103,Jamie Vardy,Goal,Jordan Pickford,Leicester,Everton,17/18,31-01-2018,,,
104,Mark Noble,Goal,Jack Butland,West Ham,Stoke,17/18,16-12-2017,,,
105,Eden Hazard,Goal,Ben Foster,Chelsea,Watford,18/19,26-12-2018,,,
106,Ashley Barnes,Goal,Mathew Ryan,Burnley,Brighton,18/19,9-02-2019,,,
107,Aleksandar Mitrović,Goal,Artur Boruc,Fulham,Bournemouth,18/19,20-04-2019,,,
108,Robert Kenedy Nunes do Nascimento,Saved,Neil Leonard Dula Etheridge,Newcastle,Cardiff,18/19,18-08-2018,,,
109,İlkay Gündoğan,Goal,Hugo Lloris,Man City,Tottenham,17/18,14-04-2018,,,
110,Paul Pogba,Goal,Tom Heaton,Man Utd,Burnley,18/19,29-01-2019,,,
111,Glenn Murray,Goal,Alex McCarthy,Brighton,Southampton,17/18,31-01-2018,,,
112,Junior Stanislas,Goal,Jack Butland,Bournemouth,Stoke,17/18,21-10-2017,,,
113,Jamie Vardy,Goal,Mathew Ryan,Leicester,Brighton,18/19,24-11-2018,,,
114,Jamie Vardy,Goal,Jonas Lössl,Leicester,Huddersfield,17/18,16-09-2017,,,
115,Pierre-Emerick Aubameyang,Goal,Hugo Lloris,Arsenal,Tottenham,18/19,02-12-2018,,,
116,Harry Kane,Goal,Bernd Leno,Tottenham,Arsenal,18/19,,,,
117,Jamie Vardy,Goal,Orestis Karnezis,Leicester,Watford,17/18,20-01-2018,,,
118,Glenn Murray,Goal,Joe Hart,Brighton,West Ham,17/18,20-10-2017,,,
119,Luka Milivojević,Saved,Ederson Santana de Moraes,Crystal Palace,Man City,17/18,31-12-2017,,,
120,Mark Noble,Goal,Ben Foster,West Ham,Watford,18/19,12-05-2019,,,
121,Wayne Mark Rooney,Saved,Joe Hart,Everton,West Ham,17/18,29-11-2017,,,
122,Manuel Lanzini,Saved,Jordan Pickford,West Ham,Everton,17/18,29-11-2017,,,
123,Jordan Ayew,Goal,Adrián San Miguel del Castillo,Swansea,West Ham,17/18,03-03-2018,,,
124,Luka Milivojević,Goal,Rui Pedro dos Santos Patrício,Crystal Palace,Wolves,18/19,02-01-2019,,,
125,Alexis Alejandro Sánchez Sánchez,Saved,Jonas Lössl,Man Utd,Huddesfield,17/18,03-02-2018,,,
126,Joshua King,Goal,Kasper Schmeichel,Bournemouth,Leicester,17/18,03-03-2018,,,
127,Luka Milivojević,Saved,Jordan Pickford,Crystal Palace,Everton,18/19,21-10-2018,,,
128,Joshua King,Goal,Martin Dúbravka,Bournemouth,Newcastle,18/19,16-03-2019,,,
129,Eden Hazard,Goal,Petr Čech,Chelsea,Arsenal,17/18,03-01-2018,,,
130,Aboubakar Kamara,Saved,Jonas Lössl,Fulham,Huddesfield,18/19,29-12-2018,,,
131,Wayne Mark Rooney,Goal,Simon Mignolet,Everton,Liverpool,17/18,10-12-2017,,,
132,Luka Milivojević,Goal,Asmir Begović,Crystal Palace,Bournemouth,17/18,09-12-2017,,,
133,Christian Benteke Liolo,Saved,Asmir Begović,Crystal Palace,Bournemouth,17/18,09-12-2017,,,
134,Luka Milivojević,Goal,Sergio Rico González,Crystal Palace,Fulham,18/19,02-02-2019,,,
135,Christian Benteke Liolo,Goal,Ben Hamer,Crystal Palace,Leicester,17/18,28-04-2018,,,
136,Gylfi Þór Sigurðsson,Saved,Ben Foster,Everton,Watford,18/19,10-12-2018,,,
137,Callum Paterson,Goal,David de Gea Quintana,Cardiff,Man Utd,18/19,22-12-2018,,,
138,Jesse Lingard,Goal,Neil Leonard Dula Etheridge,Man Utd,Cardiff,18/19,22-12-2018,,,
139,Luka Milivojević,Goal,Karl Darlow,Crystal Palace,Newcastle,17/18,04-02-2018,,,
140,Jay Rodriguez,Goal,Petr Čech,West Brom,Arsenal,17/18,31-12-2017,,,
141,Harry Kane,Goal,Mathew Ryan,Tottenham,Brighton,18/19,22-09-2018,,,
142,Troy Deeney,Goal,David de Gea Quintana,Watford,Man Utd,17/18,28-11-2017,,,
143,Paul Pogba,Goal,Łukasz Fabiański,Man Utd,West Ham,18/19,13-04-2019,,,
144,Paul Pogba,Goal,Łukasz Fabiański,Man Utd,West Ham,18/19,13-04-2019,,,
145,Pascal Groß,Goal,Hugo Lloris,Brighton,Tottenham,17/18,17-04-2018,,,
146,Raheem Shaquille Sterling,Goal,Heurelho da Silva Gomes,Man City,Watford,17/18,16-09-2017,,,
147,Nathaniel Mendez-Laing,Goal,David de Gea Quintana,Cardiff,Man Utd,18/19,12-05-2019,,,
148,Riyad Mahrez,Off T,Alisson Ramsés Becker,Man City,Liverpool,18/19,07-10-2018,,,
149,Dušan Tadić,Goal,Joe Hart,Southampton,West Ham,17/18,19-08-2017,,,
150,Charlie Austin,Goal,Joe Hart,Southampton,West Ham,17/18,19-08-2017,,,
151,Sergio Leonel Agüero del Castillo,Goal,Nick Pope,Man City,Burnley,17/18,21-10-2017,,,
152,Joshua King,Goal,Rui Pedro dos Santos Patrício,Bournemouth,Wolves,18/19,23-02-2019,,,
153,Raúl Alonso Jiménez Rodríguez,Goal,Artur Boruc,Wolves,Bournemouth,18/19,23-02-2019,,,
154,Joshua King,Post,Rui Pedro dos Santos Patrício,Bournemouth,Wolves,18/19,23-02-2019,,,
155,Glenn Murray,Off T,Nick Pope,Brighton,Burnley,17/18,16-12-2017,,,
156,Romelu Lukaku Menama,Saved,Kasper Schmeichel,Everton,Leicester,17/18,26-08-2017,,,
157,Luka Milivojević,Goal,Ederson Santana de Moraes,Crystal Palace,Man City,18/19,22-12-2018,,,
158,Callum Wilson,Saved,Neil Leonard Dula Etheridge,Bournemouth,Cardiff,18/19,11-08-2018,,,
159,Troy Deeney,Goal,Petr Čech,Watford,Arsenal,17/18,14-10-2017,,,
160,Ashley Barnes,Goal,Alex McCarthy,Burnley,Southampton,18/19,02-02-2019,,,
161,Daniel William John Ings,Goal,Jonas Lössl,Southampton,Huddesfield,18/19,22-12-2018,,,
162,Luka Milivojević,Goal,Kasper Schmeichel,Crystal Palace,Leicester,18/19,23-02-2019,,,
163,Jamie Vardy,Saved,Simon Mignolet,Leicester,Liverpool,17/18,23-09-2017,,,
164,Daniel William John Ings,Goal,Ederson Santana de Moraes,Southampton,Man City,18/19,04-11-2018,,,
165,Jorge Luiz Frello Filho,Goal,Ben Hamer,Chelsea,Huddesfield,18/19,11-08-2018,,,
166,Glenn Murray,Goal,Simon Mignolet,Brighton,Liverpool,17/18,02-12-2017,,,
167,Troy Deeney,Saved,Petr Čech,Watford,Arsenal,17/18,11-03-2018,,,
168,Glenn Murray,Goal,Łukasz Fabiański,Brighton,Swansea,17/18,24-02-2018,,,
169,Luka Milivojević,Goal,Martin Dúbravka,Crystal Palace,Newcastle,18/19,06-04-2019,,,
170,Troy Deeney,Saved,Martin Dúbravka,Watford,Newcastle,17/18,05-05-2018,,,
